date | value
2008-05-12 | 2
2008-05-12 | 1.5
2009-07-18 | 3
2009-07-18 | -0.7
2010-11-02 | 4
2010-11-02 | 2
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2013-06-15 | 0.9
2014-12-25 | 5
2015-03-14 | 3.14
2015-03-14 | -3.14
2016-08-29 | 42
2017-02-28 | -12
2018-04-22 | 0.001
2018-04-22 | 999999
2019-10-10 | -2147483648
2020-01-01 | 0
2020-12-31 | 1
2021-07-07 | 7.77
2022-05-15 | 100
2022-05-15 | 0.01
2023-11-23 | 123456
2023-11-23 | -123
2024-02-29 | 29.2
2024-01-13 | 0.0001
2025-05-15 | 100
2025-05-32 | 0.01
2025-11-23 | 123
